amount,attemptCount,failureReason,priority,recommendedAction,recovered
12824.59,1,INSUFFICIENT_FUNDS,MEDIUM,SEND_REMINDER,1
2139.65,5,NETWORK_ERROR,CRITICAL,WAIT_AND_RETRY,1
4450.9,5,UNKNOWN,LOW,STOP,0
13032.7,5,DECLINED,MEDIUM,ESCALATE_TO_HUMAN,0
16207.67,1,TIMEOUT,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
4384.74,3,NETWORK_ERROR,LOW,ESCALATE_TO_HUMAN,1
16965.14,5,INSUFFICIENT_FUNDS,LOW,ESCALATE_TO_HUMAN,0
19465.0,4,NETWORK_ERROR,HIGH,STOP,0
7296.54,2,NETWORK_ERROR,LOW,SEND_REMINDER,0
19705.91,2,NETWORK_ERROR,CRITICAL,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
16698.8,2,INSUFFICIENT_FUNDS,HIGH,SEND_REMINDER,0
14066.22,1,UNKNOWN,MEDIUM,STOP,0
3351.71,4,INSUFFICIENT_FUNDS,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
15542.4,2,NETWORK_ERROR,HIGH,ESCALATE_TO_HUMAN,1
4298.56,5,INSUFFICIENT_FUNDS,MEDIUM,ESCALATE_TO_HUMAN,0
18299.5,4,TIMEOUT,HIGH,SEND_REMINDER,1
11271.23,3,UNKNOWN,CRITICAL,STOP,0
4464.48,2,UNKNOWN,CRITICAL,WAIT_AND_RETRY,0
17235.95,2,TIMEOUT,CRITICAL,STOP,1
7694.22,4,UNKNOWN,HIGH,STOP,0
328.47,1,UNKNOWN,HIGH,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
8751.83,4,NETWORK_ERROR,HIGH,STOP,0
10202.87,1,INSUFFICIENT_FUNDS,MEDIUM,SEND_REMINDER,1
3314.83,5,NETWORK_ERROR,HIGH,ESCALATE_TO_HUMAN,1
18589.06,3,TIMEOUT,LOW,SEND_REMINDER,0
18944.29,1,DECLINED,LOW,STOP,0
2654.99,4,UNKNOWN,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,0
12171.22,2,UNKNOWN,MEDIUM,OFFER_ALTERNATIVE_PAYMENT_METHOD,1
13466.57,3,DECLINED,CRITICAL,WAIT_AND_RETRY,1
1374.12,1,UNKNOWN,MEDIUM,STOP,1
1512.76,1,TIMEOUT,LOW,WAIT_AND_RETRY,1
1510.06,2,INSUFFICIENT_FUNDS,CRITICAL,SEND_REMINDER,1
14494.72,5,UNKNOWN,CRITICAL,SEND_REMINDER,0
16169.19,2,NETWORK_ERROR,LOW,ESCALATE_TO_HUMAN,1
8280.94,1,NETWORK_ERROR,LOW,ESCALATE_TO_HUMAN,1
16031.79,1,TIMEOUT,MEDIUM,SEND_REMINDER,1
